Country,Withhoding Tax Type,Withhoding Tax Code,Name,Scection
IN,PF,P2,Pay - Rent W/O PAN - Co/Firms @ 20%,194I
IN,PF,P3,Pay - Rent - Co/Firms @ 7.50%,194I
IN,PF,P4,Pay -Rent- Co/Firms Sec:206AB @ 20%,194I
IN,PF,P7,Pay - Rent - HUF/Indiv @ 7.50%,194I
IN,PF,P8,Pay - Rent W/O PAN - HUF/Indiv @ 20%,194I
IN,PF,P9,Pay - Rent - HUF/Indiv @ 10%,194I
IN,PG,P!,Pay - 194Q - Rent P&M - HUF/Indiv @ 5%,194I
IN,PG,P1,Pay - Rent P&M - Co/Firms @ 2%,194I
IN,PG,P2,Pay - Rent P&M W/O PAN - Co/Firms @ 20%,194I
IN,PG,P3,Pay - Rent P&M - Co/Firms @ 1.5%,194I
IN,PG,P4,Pay -Rent P&M-Co/Firms Sec:206AB@ 20%,194I
IN,PG,P7,Pay - Rent P&M - HUF/Indiv @ 1.50%,194I
IN,PG,P8,Pay - Rent P&M W/O PAN - HUF/Indiv @ 20%,194I
IN,PG,P9,Pay - Rent P&M - HUF/Indiv @ 2%,194I
IN,PH,P!,Pay - Prof Fees -HUF/Indiv 206AB @ 5%,194J
IN,PH,P0,Pay  - Professional Fees -CO/Firms @1.5%,194J
IN,PH,P1,Pay  - Professional Fees -CO/Firms @10%,194J
IN,PH,P2,Pay - Prof Fees W/O PAN -CO/Firms @ 20%,194J
IN,PH,P3,Pay  - Professional Fees -CO/Firms @2%,194J
IN,PH,P4,Pay  - Professional Fees -CO/Firms @7.5%,194J
IN,PH,P5,Pay - Professional Fees -HUF/Indiv @7.5%,194J
IN,PH,P6,Pay - Professional Fees -HUF/Indiv @ 1.5,194J
IN,PH,P7,Pay - Professional Fees -HUF/Indiv @ 2%,194J
IN,PH,P8,Pay - Prof Fees W/O PAN -HUF/Indiv @ 20%,194J
IN,PH,P9,Pay - Professional Fees -HUF/Indiv @ 10%,194J
IN,PH,P@,Pay - Prof Fees -HUF/Indiv 206AB @ 20%,194J
IN,PI,P1,Pay - Int. O/T Int on Sec- Co/Firm @ 10%,194A
IN,PI,P2,Pay - Int. O/T IOS W/O PAN-Co/Firm @ 20%,194A
IN,PI,P8,Pay - Int. O/T IOS W/O PAN-HUF/Ind @ 10%,194A
IN,PI,P9,Pay - Int. O/T Int on Sec-HUF/Ind @ 10%,194A
IN,PK,P5,Pay - FOREIGN REMITTANCE @ 30.9%,195
IN,PN,P1,Inv - IMMOVABLE PROPERTY - Co/Firms @ 1%,194I
IN,PN,P2,Inv-IMMOVABLE PROPERTY -Co/Firms @0.75%,194I
IN,PO,P1,194Q:TDS on Purchase of goods-0.1% - Pay,194Q
IN,PO,P2,194Q:TDS -5% - Pay on non PAN Base,194Q
IN,PP,P1,194R:TDS BENEFITS/PERQUISITE--10% - Pay,194R
IN,PP,P2,194R:TDS -20% - Pay on Non PAN Base,194R
IN,RA,R1,REC TDS REC - Contract -  @ 2%,194C
IN,RB,R1,REC TDS REC - Ins. Commission -  @10%,194D
IN,RC,R1,REC TDS REC - Commission/Brok. -  @ 10%,194H
IN,RD,R1,REC TDS REC - Rent -  @ 10%,194I
IN,RE,R1,REC TDS REC - Rent P&M -  @ 2%,194I
IN,RF,R1,REC TDS REC - Professional Fees - @10%,194J
